ID,question,answer
11,"What is the significance of the silence bell in the context of student behavior?
Can you explain the purpose behind requiring students to remain inside their rooms after the silence bell?
How strictly is the rule enforced regarding students staying in their rooms after the silence bell?
Are there any exceptions to the requirement for students to stay in their rooms after the silence bell?
What measures are in place to ensure compliance with the rule of remaining inside rooms after the silence bell?
How do students typically occupy their time while inside their rooms after the silence bell?
What consequences may students face for violating the rule of staying inside their rooms after the silence bell?
How does the policy of remaining inside rooms after the silence bell contribute to the overall atmosphere of the institution?
Are there any support systems or resources available to help students adhere to this rule?
Can students request permission to leave their rooms after the silence bell for valid reasons, and if so, what is the process for doing so?",Students are expected to remain inside their rooms after the silence bell.
12,"Are there any specific guidelines or exceptions to the rule against cooking inside the rooms?
How strictly is the rule against cooking inside the rooms enforced?
Can you provide examples of what constitutes cooking in the context of this rule?
What alternative options are available to students who need to prepare meals?
What measures are in place to ensure compliance with the rule prohibiting cooking inside the rooms?
Are there any consequences for students who violate the rule against cooking inside the rooms?
How does the policy of not allowing cooking inside the rooms contribute to the safety and cleanliness of the living environment?",Cooking is not allowed inside the rooms.
13,"What types of clothing are prohibited in the cafeteria and outside the hostels according to the rule?
Can you elaborate on the reasons behind the restriction on wearing certain types of dresses in specific areas?
Are there any exceptions to the rule regarding clothing attire in the cafeteria and outside the hostels?
How strictly is the rule enforced regarding attire in the specified locations?
Are there alternative dress codes or guidelines provided for these areas?
What measures are in place to inform students about the dress code regulations for the cafeteria and outside the hostels?
Can you provide examples of acceptable attire for the cafeteria and outside the hostels?
What consequences may students face for violating the dress code in these locations?
How does the policy of regulating attire contribute to the overall atmosphere or image of the institution?
Are there designated areas or times where the dress code is relaxed, and if so, what are the guidelines for these situations?","Wearing dresses like night suit, night gown or dressing gown etc. is not allowed at cafeteria or at the door/outside hostels."
14,"What specific electrical appliances are prohibited in the hostel according to the rule?
Can you explain the reasoning behind the prohibition of electrical stoves, immersion rods, etc. in the hostel?
Are there any exceptions to the rule regarding the use of electrical appliances in the hostel?
How strictly is the rule enforced regarding the possession of prohibited electrical equipment?
What measures are in place to prevent students from bringing prohibited electrical appliances into the hostel?
What consequences may students face if prohibited equipment is found in their rooms?
How does the policy of prohibiting certain electrical appliances contribute to the safety and security of the hostel?
Are there alternative options or facilities provided for students who need to use such equipment?
Can students request permission to use specific electrical appliances, and if so, what is the process for doing so?
How do students typically adapt to the restriction on certain electrical appliances in the hostel?","Electrical stoves, emersion rods etc. are not permissible in the hostel. If such equipment is found in the hostel rooms, it will be taken and may not be returned."
15,"What electronic devices are allowed for use in the room according to the rule?
Can you explain the conditions under which the use of transistor, radio, tape recorder, etc. is permitted?
Are there any restrictions on the usage of these electronic devices in terms of time or volume?
How does the rule ensure that the use of such devices does not inconvenience other students?
What steps are taken if a device creates inconvenience for other students?
Are there any guidelines or procedures for obtaining no objection from other students for using these devices?
What measures are in place to prevent conflicts or disputes arising from the usage of these electronic devices?
Can students appeal if their device is taken away due to creating inconvenience, and if so, what is the process?
How does the policy of allowing these devices contribute to the overall living environment in the hostel?
Are there any designated areas or times where the usage of these electronic devices is restricted or prohibited?","Transistor, radio, tape recorder etc. may be used in the room but it is subject to the no objection by the other students. If it creates inconvenience to others, it may be taken away and it will be returned at the time of leaving the hostel."
16,"What cultural factors may contribute to the uncommon use of jewelry and cosmetics among students?
Are there any specific reasons why students are discouraged from keeping excess cash in their rooms?
How do students typically store their excess cash if not in their rooms?
Are there any safety concerns associated with keeping excess cash in student rooms?
What alternatives are available for students to manage their finances besides keeping cash in their rooms?
Are there any regulations or guidelines regarding the use of jewelry and cosmetics in the hostel?
How does the cultural context influence the attitudes towards jewelry and cosmetics among students?
Can students face consequences for violating the guidelines regarding excess cash in their rooms?",Use of jewelry and cosmetics is uncommon. Students should also not keep excess cash in their rooms. They should keep it in their bank account.
17,"Are there any exceptions to the rule that all correspondence must go through the hostel?
How do students typically submit correspondence through the hostel?
What measures are in place to ensure that all correspondence is routed through the hostel?
Can students use personal or alternative methods of correspondence outside of the hostel?
Are there specific guidelines for the types of correspondence that must go through the hostel?
How does routing correspondence through the hostel benefit the students or the hostel administration?
What role do hostel staff members play in managing correspondence from students?
Are there any penalties for students who fail to comply with the requirement to route correspondence through the hostel?",All the correspondence by the students should be through the hostel.
18,"How do students obtain prior permission to visit staff quarters or the guest house?
Are there any specific reasons why students might need to visit staff quarters or the guest house?
How is the restriction on visiting staff quarters and the guest house enforced?
Can students request permission to visit staff quarters or the guest house for specific purposes?
Are there any exceptions to the rule prohibiting students from visiting staff quarters or the guest house without prior permission?
What measures are in place to ensure that students adhere to the policy regarding visits to staff quarters and the guest house?
How does the restriction on visiting staff quarters and the guest house contribute to the overall security and privacy of the hostel?",Students are not allowed to visit staff quarters as well as guest house without prior permission from hostels.
19,"What are the guidelines for students below class 12 regarding the possession of mobile phones or SIM cards within the hostel boundaries?
Are there any restrictions on the use of mobile phones or SIM cards for students above class 12 within the hostel boundaries?
How is the possession of mobile phones or SIM cards monitored within the hostel boundaries?
Are there any specific reasons why students above class 12 are permitted to keep mobile phones or SIM cards within the hostel boundaries?
What measures are in place to ensure responsible use of mobile phones or SIM cards by students above class 12 within the hostel boundaries?
Can students use their mobile phones or SIM cards for any purpose within the hostel boundaries?
Are there any penalties for students who violate the rules regarding mobile phones or SIM cards within the hostel boundaries?
How does the policy regarding mobile phones and SIM cards within the hostel boundaries align with the overall rules and regulations of the institution?
Are there any restrictions on the type or model of mobile phones that students above class 12 can possess within the hostel boundaries?
How do students ensure the security of their mobile phones or SIM cards within the hostel boundaries?",Students above class 12th shall be allowed to keep mobile/Sim Card in the boundary of Vidyapith hostels.
20,"What actions are taken if a student is found using a mobile phone or SIM card outside the hostel?
How is it determined that a student has violated the rule regarding mobile phone use outside the hostel?
What steps are involved in taking a mobile phone into custody from a student found using it outside the hostel?
Are there any specific consequences for students who are caught using mobile phones outside the hostel repeatedly?
Can students retrieve their mobile phones after they have been taken into custody?
Are there any procedures in place for students to appeal the disciplinary action taken against them for using mobile phones outside the hostel?
How do hostel authorities enforce the rule regarding mobile phone use outside the hostel?
Are there any measures in place to prevent students from using mobile phones outside the hostel?","If a student is found using mobile phone/Sim Card out of the hostel, the mobile phone will be taken into custody and the students will be liable for disciplinary action."
21,"What consequences do students face for breaching the rules and regulations of Vidyapith?
Who has the final authority to make decisions regarding termination from the hostel due to rule breaches?
How do students and their guardians acknowledge the finality and acceptability of the Vice-chancellor's decision in such matters?
Are there any specific guidelines or criteria for determining when a breach of rules warrants termination from the hostel?
Can students appeal the decision of the Vice-chancellor in cases of termination from the hostel?",Breaching of rules and regulations of Vidyapith would cause termination from hostel and the decision of the Vice-chancellor will be final in this regard and it will be acceptable to the guardian as well as student.
22,"What is the requirement for clothing on Vidyapith's campus?
Why is it mandatory to wear Khadi attire on Vidyapith's campus?
How is compliance with the Khadi-wearing rule monitored and enforced?
Are there any exceptions to the requirement for wearing Khadi attire?
What consequences do students face for violating the rule of wearing Khadi on campus?
Can students appeal the cancellation of their admission if they violate the Khadi-wearing rule?
Are there any guidelines regarding the specific type or style of Khadi attire that students must wear?","It is mandatory to wear Khadi in Vidyapith?s campus. If the rule of Khadi wearing is violated by a student, her admission from Vidyapith can be cancelled."
23,What specific items are students required to purchase from the Khadi Bhandar of Vidyapith?,"Students should buy uniform, navy blue sweater or blazer (coat) from the Khadi Bhandar of Vidyapith."
24,"What expectations are placed on students regarding their movement between rooms and classrooms?
How do students ensure they move in an orderly manner between rooms and classrooms?
Are there any specific guidelines for minimizing noise during transitions between rooms and classrooms?
What measures are in place to address instances where students create noise or inconvenience during transitions?",Students are expected to move from one room to another or get out of the classrooms in an orderly manner without creating any noise and inconvenience to any other.
25,"How do students contribute to the preservation of Vidyapith's property?
What measures are in place to prevent incidents of property damage or defacement?",Students should not damage and deface the property of Vidyapith.
26,"What are the consequences for students who engage in anti-social activities?
",Students should not participate in any anti-social activity.
27,"What are the repercussions for students who engage in ragging?
Are there any support systems or resources available to prevent or address instances of ragging?",Students are advised not to engage themselves in ragging as it is a serious offence
28,"What is the purpose of wearing identity cards inside the campus and during meetings outside the campus?
How do students obtain their identity cards, and are there any specific requirements for their design or contents?
Are there any exceptions to the requirement of wearing identity cards, and if so, under what circumstances?
What specific disciplinary actions may be taken against students who fail to comply with the orders regarding identity card wearing?
How are students reminded or informed about the importance of wearing their identity cards as per the orders?",Students should wear identity cards inside the campus and also when attending any meetings outside the campus. Any violation of these orders will lead to disciplinary action.
29,"What are the reasons behind the strict prohibition on keeping mobile phones during teaching hours in Academic Departments?
How is compliance with the prohibition on mobile phones enforced during teaching hours?
Are there any exceptions to the rule prohibiting mobile phones in Academic Departments during teaching hours?
What measures are in place to remind students and faculty members about the prohibition on mobile phones during teaching hours?
What disciplinary actions may be taken against individuals who violate the rule of keeping mobile phones during teaching hours in Academic Departments?",Keeping mobile phones during the teaching hours in Academic Departments is strictly prohibited.
30,"What is the significance of the 8:00 pm restriction on leaving the Hostel premises?
How is compliance with the curfew time of 8:00 pm enforced for students?
Are there any exceptions to the rule prohibiting students from leaving the Hostel premises after 8:00 pm?
What qualifies as a valid reason for seeking permission to leave the Hostel after 8:00 pm?
What steps should a student take to seek prior permission from the Hostel Warden to leave after 8:00 pm?","Students are not allowed to leave the Hostel premises after 8.00 pm. If a student wants to leave the Hostel after 8.00 pm for some valid reasons, she has to seek prior permission of the Hostel Warden."
31,"What are the potential consequences of spitting, smoking, and throwing bits of paper inside the University campus?
How does the University enforce the rules against spitting, smoking, and littering within the campus?
Are there any designated areas where smoking is permitted within the University campus?
What measures are in place to educate students and staff about the harmful effects of spitting, smoking, and littering?
How do these behaviors impact the cleanliness and overall environment of the University campus?","Spitting, smoking and throwing bits of paper inside the University campus are harmful and must be avoided."
32,"What are the reasons behind the strict prohibition on possessing firecrackers in the hostel and University campus?
How does the institution enforce the rule against possessing firecrackers on campus?
Are there any exceptions to the prohibition on possessing firecrackers?
What disciplinary actions may be taken against individuals found in possession of firecrackers?
How does the prohibition on firecrackers contribute to the safety and well-being of the hostel and University campus community?",Possessing firecrackers of any kind in the hostel and University campus is strictly prohibited.
33,"How is compliance with the prohibition on scribbling enforced within the University and hostels?
Are there any consequences for individuals who violate the rule against scribbling on desks or walls?",Scribbling on the desks or on the walls of the University and hostels is strictly prohibited.
34,"What types of meetings or funds require permission from the concerned authority before being convened or initiated on campus?
How do students obtain written permission from the concerned authority to circulate notices or display information on blackboards or notice boards?
What are the consequences for students who violate the rules regarding convening meetings or circulating notices without permission?
Are there any specific guidelines or criteria for determining when permission is granted for sending information to press, broadcasting agencies, or placement companies?
How does the requirement for permission from the concerned authority align with the overall policies and objectives of the institution?",Students are not allowed to convene any kind of meeting in the campus or any sort of fund without the permission of the concerned authority or to circulate/display any kind of notice among students or on black boards or on notice board without the written permission of the concerned authority. No information or report should be sent to press or board-casting agencies and placement companies without the permission and approval of the concerned authority.
35,"What behaviors are expected from students while attending University functions?
How do students contribute to bringing recognition and honor to themselves and the University during these functions?
Are there any guidelines or codes of conduct provided to students for University functions?
What measures are in place to ensure students understand the importance of representing the University positively during functions?
Can students face any consequences for not conducting themselves appropriately during University functions?","While attending University functions, the students will conduct themselves in such a way as to bring recognition/ honour to themselves and to the University"
